GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G0609035","California","060","Mission Indian Reservation","9035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0609055","California","060","Round Valley Indian Reservation","9055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0609075","California","060","Tule River Indian Reservation","9075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0800010","Colorado","080","Adams County","0010",,,,,,,,,,5198,8022,11125,11975,21635,60614,92926,121877,131564,184476,222142,,,,,,,,,,3694,6408,9120,10506,18599,59682,92863,124067,133474,179381,219461
"G0800030","Colorado","080","Alamosa County","0030",,,,,,,,,,,2735,4448,5427,5311,5036,5625,5827,6681,7446,7745,,,,,,,,,,,2413,4154,5057,5220,4964,5797,5972,6936,7520,7700
"G0800050","Colorado","080","Arapahoe County","0050",,,,,,,23489,75762,77336,5758,7335,11782,16751,26147,57295,80155,145008,190867,240430,280345,,,,,,,15155,56373,75681,4505,6431,10865,15399,25978,56131,81987,148613,200644,247537,291658
"G0800070","Colorado","080","Archuleta County","0070",,,,,,,,484,1269,1886,1934,1695,1970,1555,1358,1364,1854,2724,5016,6103,,,,,,,,342,848,1416,1656,1509,1836,1475,1271,1369,1810,2621,4882,5981
"G0800090","Colorado","080","Baca County","0090",,,,,,,,798,449,1531,4702,5716,3315,4197,3241,2843,2703,2253,2247,1877,,,,,,,,681,310,985,4019,4854,2892,3767,3069,2831,2716,2303,2270,1911
"G0800110","Colorado","080","Bent County","0110",,,,,,,1098,752,1780,2957,5529,4988,5350,4919,4094,3428,3087,2623,3379,4270,,,,,,,556,561,1269,2086,4176,4146,4303,3856,3325,3065,2858,2425,2619,2229
"G0800130","Colorado","080","Boulder County","0130",,,,,,,5688,8041,11346,15642,16029,16169,18532,24412,36870,65370,95622,112950,147264,147916,,,,,,,4035,6041,10198,14688,15832,16287,18906,23884,37384,66519,94003,112389,144024,146651
"G0800140","Colorado","080","Broomfield County","0140",,,,,,,,,,,,,,,,,,,,27729,,,,,,,,,,,,,,,,,,,,28160
"G0800150","Colorado","080","Chaffee County","0150",,,,,,,4893,4092,4039,4181,4128,4363,4283,3686,4318,5219,6825,6797,8637,9453,,,,,,,1619,2520,3046,3441,3625,3763,3826,3482,3980,4943,6402,5887,7605,8356
"G0800170","Colorado","080","Cheyenne County","0170",,,,,,,,323,298,2109,2045,2021,1570,1807,1401,1216,1067,1219,1119,910,,,,,,,,211,203,1578,1701,1702,1394,1646,1388,1180,1086,1178,1112,926
"G0800190","Colorado","080","Clear Creek County","0190",,,,,,,5053,4310,4037,2782,1574,1128,2086,1671,1385,2457,3876,3954,4857,4735,,,,,,,2770,2874,3045,2219,1317,1027,1698,1618,1408,2362,3432,3665,4465,4353
"G0800210","Colorado","080","Conejos County","0210",,,,,,,3793,3901,4571,5998,4256,5043,5959,5125,4222,3901,3859,3706,4169,4093,,,,,,,1812,3292,4223,5287,4160,4760,5689,5046,4206,3945,3935,3747,4231,4163
"G0800230","Colorado","080","Costilla County","0230",,,,,,,1558,1833,2402,2944,2635,2983,3890,3036,2139,1519,1535,1594,1830,1822,,,,,,,1321,1658,2230,2554,2397,2796,3643,3031,2080,1572,1536,1596,1833,1702
"G0800250","Colorado","080","Crowley County","0250",,,,,,,,,,,3402,3143,2836,2711,1992,1526,1455,2461,3711,4199,,,,,,,,,,,2981,2791,2562,2511,1986,1560,1533,1485,1807,1624
"G0800270","Colorado","080","Custer County","0270",,,,,,,5818,1647,1670,1101,1214,1157,1214,837,682,543,771,964,1788,2195,,,,,,,2262,1323,1267,846,958,967,1056,736,623,577,757,962,1715,2060
"G0800290","Colorado","080","Delta County","0290",,,,,,,,1484,2914,7224,7084,7382,8561,8848,7821,7543,10489,10353,13972,15590,,,,,,,,1050,2573,6464,6584,6822,7909,8517,7781,7743,10736,10627,13862,15362
"G0800310","Colorado","080","Denver County","0310",,,,,,,,,,107395,131906,139872,155635,200558,236645,243589,237865,227517,280207,300089,,,,,,,,,,105986,124585,147989,166777,215228,257242,271089,254500,240093,274429,300069
"G0800330","Colorado","080","Dolores County","0330",,,,,,,,1124,738,402,678,773,1088,1041,1124,824,831,764,954,1063,,,,,,,,374,396,240,565,639,870,925,1072,817,827,740,890,1001
"G0800350","Colorado","080","Douglas County","0350",,,,,,,1500,1855,1753,1853,1877,1924,1867,1820,2433,4253,12626,30314,87742,141253,,,,,,,986,1151,1367,1339,1640,1574,1629,1687,2383,4154,12527,30077,88024,144212
"G0800370","Colorado","080","Eagle County","0370",,,,,,,,2911,1896,1807,1920,2268,2965,2405,2423,3787,7292,11553,22813,27820,,,,,,,,814,1112,1178,1465,1656,2396,2083,2254,3711,6028,10375,18846,24377
"G0800390","Colorado","080","Elbert County","0390",,,,,,,1139,1123,1717,2929,3737,3553,2957,2386,1932,1992,3516,4831,9966,11553,,,,,,,569,733,1384,2402,3243,3027,2503,2091,1776,1911,3334,4815,9906,11533
"G0800410","Colorado","080","El Paso County","0410",,,,,,,4394,12028,16043,21820,21047,23854,25644,36922,72964,123820,156104,199334,259598,310162,,,,,,,3555,9211,15559,21501,22980,25716,28381,37601,70778,112152,153320,197680,257331,312101
"G0800430","Colorado","080","Fremont County","0430",,,,,,,3009,5509,8639,10047,9459,10157,10668,9680,10757,11177,14573,16757,26417,27032,,,,,,,1726,3647,6997,8134,8424,8739,9074,8686,9439,10765,14103,15516,19728,19792
"G0800450","Colorado","080","Garfield County","0450",,,,,,,,2886,3397,5780,4942,5304,5515,5982,6081,7346,11460,15264,22489,29107,,,,,,,,1592,2438,4364,4362,4671,5045,5643,5936,7475,11054,14710,21302,27282
"G0800470","Colorado","080","Gilpin County","0470",,,,,,,3979,3511,3872,2298,767,677,879,457,355,655,1320,1624,2521,2883,,,,,,,2510,2356,2818,1833,597,535,746,393,330,617,1121,1446,2236,2558
"G0800490","Colorado","080","Grand County","0490",,,,,,,354,383,456,1142,1660,1231,1996,2153,1860,2077,3870,4230,6593,7929,,,,,,,63,221,285,720,999,877,1591,1810,1697,2030,3605,3736,5849,6914
"G0800495","Colorado","080","Greenwood County","0495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0800510","Colorado","080","Gunnison County","0510",,,,,,,7557,2799,3342,3667,3193,3078,3277,3053,2854,4035,5836,5442,7563,8306,,,,,,,678,1560,1989,2230,2397,2449,2915,2663,2623,3543,4853,4831,6393,7018
"G0800530","Colorado","080","Hinsdale County","0530",,,,,,,1079,537,1027,384,307,263,197,137,111,106,230,246,406,443,,,,,,,408,325,582,262,231,186,152,126,97,96,178,221,384,400
"G0800550","Colorado","080","Huerfano County","0550",,,,,,,2187,3756,4530,7516,9308,8994,8393,5382,3851,3217,3191,2924,4269,3332,,,,,,,1937,3126,3865,5804,7571,8068,7695,5167,4016,3373,3249,3085,3593,3379
"G0800570","Colorado","080","Jackson County","0570",,,,,,,,,,629,794,804,1002,1174,959,930,972,855,794,736,,,,,,,,,,384,546,582,796,802,799,881,891,750,783,658
"G0800590","Colorado","080","Jefferson County","0590",,,,,,,4014,5106,5283,7881,7619,11273,15800,28443,63826,115175,185026,216356,262217,265317,,,,,,,2790,3344,4023,6350,6781,10537,14925,27244,63694,117856,186727,222074,264839,269226
"G0800610","Colorado","080","Kiowa County","0610",,,,,,,,687,397,1635,2028,2059,1449,1645,1232,1009,986,824,811,687,,,,,,,,556,304,1264,1727,1727,1344,1358,1193,1020,950,864,811,711
"G0800630","Colorado","080","Kit Carson County","0630",,,,,,,,1355,846,4121,4704,5126,3897,4507,3563,3769,3787,3537,4236,4638,,,,,,,,1117,734,3362,4211,4599,3615,4093,3394,3761,3812,3603,3775,3632
"G0800650","Colorado","080","Lake County","0650",,,,,,,18289,9064,11202,6060,3642,2672,3695,3189,3643,4318,4660,3097,4192,3913,,,,,,,5274,5599,6852,4540,2988,2227,3188,2961,3458,3964,4170,2910,3620,3397
"G0800670","Colorado","080","La Plata County","0670",,,,,,,728,3556,3757,5991,5918,6843,8092,7565,9642,9438,13793,16256,22362,26138,,,,,,,382,1953,3259,4821,5300,6132,7402,7315,9583,9761,13631,16028,21579,25196
"G0800690","Colorado","080","Larimer County","0690",,,,,,,3002,5625,6546,13145,14270,16820,17732,22143,26825,44542,74036,92046,125654,148637,,,,,,,1890,4087,5622,12125,13602,16317,17807,21411,26518,45358,75148,94090,125840,150993
"G0800710","Colorado","080","Las Animas County","0710",,,,,,,4870,9521,11899,19044,20743,18673,16516,13054,9962,7780,7252,6699,7441,7948,,,,,,,4033,7687,9943,14599,18232,17335,15853,12848,10021,7964,7645,7066,7766,7559
"G0800730","Colorado","080","Lincoln County","0730",,,,,,,,433,563,3346,4386,4153,3098,3098,2747,2418,2278,2221,3451,3163,,,,,,,,256,363,2571,3887,3697,2784,2811,2563,2418,2385,2308,2636,2304
"G0800750","Colorado","080","Logan County","0750",,,,,,,,1649,1913,5378,9668,10354,9415,8760,10107,9304,9743,8570,10834,12924,,,,,,,,1421,1379,4171,8759,9592,8955,8427,10195,9548,10057,8997,9670,9785
"G0800770","Colorado","080","Mesa County","0770",,,,,,,,2714,5071,12075,11564,13349,17226,19697,25186,26591,40351,45181,56939,72866,,,,,,,,1546,4196,10122,10717,12559,16565,19277,25529,27783,41179,47964,59316,73857
"G0800790","Colorado","080","Mineral County","0790",,,,,,,,,1134,717,423,364,534,363,230,398,419,287,424,362,,,,,,,,,779,522,356,276,441,335,194,388,385,271,407,350
"G0800810","Colorado","080","Moffat County","0810",,,,,,,,,,,2794,2722,2858,3132,3578,3250,6795,5747,6836,7047,,,,,,,,,,,2335,2139,2228,2814,3483,3275,6338,5610,6348,6748
"G0800830","Colorado","080","Montezuma County","0830",,,,,,,,860,1672,2746,3298,4173,5474,5175,7133,6396,8097,9098,11716,12605,,,,,,,,669,1386,2283,2962,3625,4989,4816,6891,6556,8413,9574,12114,12930
"G0800850","Colorado","080","Montrose County","0850",,,,,,,,2424,2504,5712,6360,6223,8122,7872,9237,9208,12171,11911,16458,20310,,,,,,,,1556,2031,4579,5492,5519,7296,7348,9049,9158,12181,12512,16974,20966
"G0800870","Colorado","080","Morgan County","0870",,,,,,,,967,1935,5169,8411,9494,8857,9246,10578,9867,11155,10750,13613,13898,,,,,,,,634,1333,4408,7713,8790,8357,8828,10614,10238,11358,11189,13558,14261
"G0800890","Colorado","080","Otero County","0890",,,,,,,,2724,6510,10942,11846,12499,11827,12530,11821,11389,10946,9720,9926,9221,,,,,,,,1468,5012,9259,10777,11891,11744,12745,12307,12134,11621,10465,10385,9610
"G0800910","Colorado","080","Ouray County","0910",,,,,,,2267,5019,3017,2198,1481,989,1109,1128,816,767,953,1158,1890,2224,,,,,,,402,1491,1714,1316,1139,795,980,975,785,779,972,1137,1852,2212
"G0800930","Colorado","080","Park County","0930",,,,,,,3063,2337,1913,1537,1181,1207,1857,1032,964,1122,2740,3676,7510,8504,,,,,,,907,1211,1085,955,796,845,1415,838,858,1063,2593,3498,7013,7702
"G0800950","Colorado","080","Phillips County","0950",,,,,,,,1417,866,1758,2940,3052,2566,2513,2231,2051,2235,1979,2164,2172,,,,,,,,1225,717,1421,2559,2745,2382,2411,2209,2080,2307,2210,2316,2270
"G0800970","Colorado","080","Pitkin County","0970",,,,,,,,5711,4083,2501,1434,979,1000,864,1184,3154,5426,6648,7958,9095,,,,,,,,3218,2937,2065,1273,791,836,782,1197,3031,4912,6013,6914,8053
"G0800990","Colorado","080","Prowers County","0990",,,,,,,,1083,2122,5280,7312,7801,6408,7636,6645,6480,6339,6512,7278,6203,,,,,,,,886,1644,4240,6533,6961,5896,7200,6651,6778,6731,6835,7205,6348
"G0801010","Colorado","080","Pueblo County","1010",,,,,,,4819,20098,19007,29345,29971,33769,34516,44971,58749,58106,61284,59515,69236,78201,,,,,,,2798,11393,15441,22878,27667,32269,34354,45217,59958,60132,64688,63536,72236,80862
"G0801030","Colorado","080","Rio Blanco County","1030",,,,,,,,759,1050,1340,1776,1683,1628,2514,2663,2522,3240,3033,3021,3432,,,,,,,,441,640,992,1359,1297,1315,2205,2487,2320,3015,2939,2965,3234
"G0801050","Colorado","080","Rio Grande County","1050",,,,,,,1137,1968,2231,3560,4110,5108,6375,6498,5553,5193,5233,5323,6116,5957,,,,,,,807,1483,1849,3003,3745,4845,6029,6334,5607,5301,5278,5447,6297,6025
"G0801070","Colorado","080","Routt County","1070",,,,,,,122,1514,2188,4425,5183,5289,5833,4789,3038,3336,7160,7535,10599,12497,,,,,,,18,855,1473,3136,3765,4063,4692,4151,2862,3256,6244,6553,9091,11012
"G0801090","Colorado","080","Saguache County","1090",,,,,,,1263,1939,2245,2332,2521,3476,3288,2946,2263,1891,1999,2370,2984,3121,,,,,,,710,1374,1608,1828,2117,2774,2885,2718,2210,1936,1936,2249,2933,2987
"G0801110","Colorado","080","San Juan County","1110",,,,,,,910,1212,1718,2113,1119,1262,802,785,430,433,444,415,293,392,,,,,,,177,360,624,950,581,673,637,686,419,398,389,330,265,307
"G0801130","Colorado","080","San Miguel County","1130",,,,,,,,2387,3679,3039,3246,1187,2069,1463,1576,1037,1719,1936,3607,3996,,,,,,,,522,1700,1661,2035,997,1595,1230,1368,912,1473,1717,2987,3363
"G0801150","Colorado","080","Sedgwick County","1150",,,,,,,,726,528,1716,2280,2983,2774,2624,2150,1666,1593,1309,1374,1174,,,,,,,,567,443,1345,1927,2597,2520,2471,2092,1739,1673,1381,1373,1205
"G0801170","Colorado","080","Summit County","1170",,,,,,,4799,1226,1818,1241,998,584,1020,597,1088,1367,4874,7012,13697,15378,,,,,,,660,680,926,762,726,403,734,538,985,1298,3974,5869,9851,12616
"G0801190","Colorado","080","Teller County","1190",,,,,,,,,17087,7873,3558,2280,3500,1416,1265,1627,4072,6331,10412,11885,,,,,,,,,11915,6478,3138,1861,2963,1338,1230,1689,3962,6137,10143,11465
"G0801210","Colorado","080","Washington County","1210",,,,,,,,1253,675,3302,5983,5182,4467,3969,3380,2851,2701,2408,2504,2458,,,,,,,,1048,566,2700,5225,4409,3869,3551,3245,2699,2603,2404,2422,2356
"G0801230","Colorado","080","Weld County","1230",,,,,,,3260,6679,9404,21569,28474,34023,32822,34339,35893,43305,60479,65089,90717,126487,,,,,,,2386,5057,7404,17608,25585,31074,30925,33165,36451,45992,62959,66732,90219,126338
"G0801250","Colorado","080","Yuma County","1250",,,,,,,,1385,948,4626,7271,7206,6350,5599,4452,4174,4766,4381,4840,4980,,,,,,,,1211,781,3873,6626,6407,5752,5228,4460,4370,4916,4573,5001,5063
"G0809015","Colorado","080","Southern Ute Indian Reservation","9015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0850015","Colorado Territory","085","Arapahoe County","0015",,,,,,4406,,,,,,,,,,,,,,,,,,,,2423,,,,,,,,,,,,,,
"G0850035","Colorado Territory","085","Bent County","0035",,,,,,439,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,
"G0850055","Colorado Territory","085","Boulder County","0055",,,,,,1180,,,,,,,,,,,,,,,,,,,,759,,,,,,,,,,,,,,
"G0850075","Colorado Territory","085","Clear Creek County","0075",,,,,,1077,,,,,,,,,,,,,,,,,,,,519,,,,,,,,,,,,,,
"G0850095","Colorado Territory","085","Conejos County","0095",,,,,,1303,,,,,,,,,,,,,,,,,,,,1201,,,,,,,,,,,,,,
"G0850115","Colorado Territory","085","Costilla County","0115",,,,,,912,,,,,,,,,,,,,,,,,,,,867,,,,,,,,,,,,,,
"G0850135","Colorado Territory","085","Douglas County","0135",,,,,,1005,,,,,,,,,,,,,,,,,,,,383,,,,,,,,,,,,,,
"G0850155","Colorado Territory","085","El Paso County","0155",,,,,,637,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,
"G0850175","Colorado Territory","085","Fremont County","0175",,,,,,637,,,,,,,,,,,,,,,,,,,,427,,,,,,,,,,,,,,
"G0850195","Colorado Territory","085","Gilpin County","0195",,,,,,3539,,,,,,,,,,,,,,,,,,,,1951,,,,,,,,,,,,,,
"G0850215","Colorado Territory","085","Greenwood County","0215",,,,,,417,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,
"G0850235","Colorado Territory","085","Huerfano County","0235",,,,,,1205,,,,,,,,,,,,,,,,,,,,1045,,,,,,,,,,,,,,
"G0850255","Colorado Territory","085","Jefferson County","0255",,,,,,1521,,,,,,,,,,,,,,,,,,,,869,,,,,,,,,,,,,,
"G0850275","Colorado Territory","085","Lake County","0275",,,,,,387,,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,
"G0850295","Colorado Territory","085","Larimer County","0295",,,,,,539,,,,,,,,,,,,,,,,,,,,299,,,,,,,,,,,,,,
"G0850315","Colorado Territory","085","Las Animas County","0315",,,,,,2363,,,,,,,,,,,,,,,,,,,,1913,,,,,,,,,,,,,,
"G0850335","Colorado Territory","085","Park County","0335",,,,,,317,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,
"G0850355","Colorado Territory","085","Pueblo County","0355",,,,,,1471,,,,,,,,,,,,,,,,,,,,794,,,,,,,,,,,,,,
"G0850375","Colorado Territory","085","Saguache County","0375",,,,,,189,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,
"G0850395","Colorado Territory","085","Summit County","0395",,,,,,217,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,
"G0850415","Colorado Territory","085","Weld County","0415",,,,,,1059,,,,,,,,,,,,,,,,,,,,577,,,,,,,,,,,,,,
"G0900010","Connecticut","090","Fairfield County","0010",21189,23419,24455,28888,37404,46163,54291,73887,90823,124251,161500,192607,207268,246336,318055,381603,386933,398672,426127,445601,21545,23591,25462,30887,40072,49113,57751,76194,93380,121071,159436,194095,211116,258006,335534,411211,420210,428973,456440,471228
"G0900030","Connecticut","090","Hartford County","0030",23239,25369,27144,34478,44437,53957,61394,72956,99447,127331,170437,208947,222763,264297,338108,394728,386895,409806,412276,432013,24025,25762,28485,35489,45525,55050,63988,74224,96033,122851,165590,212150,227426,275364,351447,422009,420871,441977,444907,462001
"G0900050","Connecticut","090","Litchfield County","0050",20314,21464,20114,22821,23578,24558,26012,26771,32162,36027,38608,42081,44230,49002,58924,70176,76005,85227,89044,93338,20859,21394,20334,22432,23740,24169,26032,26771,31510,34233,37654,40475,42811,49870,60932,73915,80764,88865,93149,96589
"G0900070","Connecticut","090","Middlesex County","0070",10824,12013,12144,13469,14924,18453,17480,19613,20425,22718,23265,25387,27845,33289,43957,56465,63033,69930,75594,80908,11580,12831,12735,13747,15935,17646,18109,19911,21335,22919,24285,26001,28154,34043,44908,58351,65984,73266,79477,84768
"G0900090","Connecticut","090","New Haven County","0090",19264,21639,23742,32552,47823,60103,77884,105163,135479,171351,209597,230771,240161,269234,323493,359204,362966,386016,395931,415090,20346,22208,24840,33036,49522,61154,78639,103895,133684,165931,205617,232678,244155,276550,336822,385744,398371,418203,428077,447387
"G0900110","Connecticut","090","New London County","0110",17206,20700,22204,26181,30623,32677,35706,37096,40593,45063,52514,60331,63270,72809,93656,115752,120290,128950,128172,136803,18737,21501,22259,25640,31108,33893,37446,39538,42165,46190,52097,58635,61954,72012,92089,114596,118119,126007,130916,137252
"G0900130","Connecticut","090","Tolland County","0130",7050,9127,8690,9962,10242,10733,11809,12325,12138,13185,13494,14540,16196,23118,34615,51832,57297,64297,68383,77163,7280,9575,9290,10129,10467,11267,12303,12756,12385,13274,13722,14119,15670,21591,34122,51608,57526,64402,67981,75528
"G0900150","Connecticut","090","Windham County","0150",15535,13174,13706,15353,16963,18626,21206,21727,23227,23716,25920,26639,28190,30412,33421,40727,44586,49975,53792,58698,16149,13908,14374,15728,17784,19892,22650,23431,23634,24645,26895,27447,28033,31347,35151,43788,47726,52550,55299,59730
"G0950015","Dakota Territory","095","Aurora County","0015",,,,,,,42,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,
"G0950035","Dakota Territory","095","Barnes County","0035",,,,,,,988,,,,,,,,,,,,,,,,,,,,597,,,,,,,,,,,,,
"G0950037","Dakota Territory","095","Beadle County","0037",,,,,,,1104,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,
"G0950055","Dakota Territory","095","Billings County","0055",,,,,,,1242,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,
"G0950075","Dakota Territory","095","Bon Homme County","0075",,,,,,382,2932,,,,,,,,,,,,,,,,,,,226,2536,,,,,,,,,,,,,
"G0950095","Dakota Territory","095","Boreman County","0095",,,,,,,407,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,
"G0950115","Dakota Territory","095","Bottineau County","0115",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950135","Dakota Territory","095","Brookings County","0135",,,,,,77,2860,,,,,,,,,,,,,,,,,,,86,2105,,,,,,,,,,,,,
"G0950155","Dakota Territory","095","Brown County","0155",,,,,,,276,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,,,
"G0950175","Dakota Territory","095","Brule County","0175",,,,,,,162,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,
"G0950195","Dakota Territory","095","Buffalo County","0195",,,,,,181,51,,,,,,,,,,,,,,,,,,,65,12,,,,,,,,,,,,,
"G0950215","Dakota Territory","095","Burleigh County","0215",,,,,,,2177,,,,,,,,,,,,,,,,,,,,1069,,,,,,,,,,,,,
"G0950235","Dakota Territory","095","Campbell County","0235",,,,,,,38,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
"G0950255","Dakota Territory","095","Cass County","0255",,,,,,,5501,,,,,,,,,,,,,,,,,,,,3497,,,,,,,,,,,,,
"G0950275","Dakota Territory","095","Cavalier County","0275",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950295","Dakota Territory","095","Charles Mix County","0295",,,,,,84,237,,,,,,,,,,,,,,,,,,,68,170,,,,,,,,,,,,,
"G0950315","Dakota Territory","095","Cheyenne County","0315",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950335","Dakota Territory","095","Clark County","0335",,,,,,,75,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,
"G0950355","Dakota Territory","095","Clay County","0355",,,,,,1506,2715,,,,,,,,,,,,,,,,,,,1115,2286,,,,,,,,,,,,,
"G0950375","Dakota Territory","095","Codington County","0375",,,,,,,1338,,,,,,,,,,,,,,,,,,,,818,,,,,,,,,,,,,
"G0950395","Dakota Territory","095","Custer County","0395",,,,,,,781,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,
"G0950415","Dakota Territory","095","Davison County","0415",,,,,,,758,,,,,,,,,,,,,,,,,,,,498,,,,,,,,,,,,,
"G0950435","Dakota Territory","095","Day County","0435",,,,,,,68,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,
"G0950455","Dakota Territory","095","Delano County","0455",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950475","Dakota Territory","095","Desmet County","0475",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950495","Dakota Territory","095","Deuel County","0495",,,,,,18,1329,,,,,,,,,,,,,,,,,,,19,973,,,,,,,,,,,,,
"G0950515","Dakota Territory","095","Douglas County","0515",,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
"G0950535","Dakota Territory","095","Edmunds County","0535",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950555","Dakota Territory","095","Emmons County","0555",,,,,,,26,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
"G0950575","Dakota Territory","095","Faulk County","0575",,,,,,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950595","Dakota Territory","095","Forsythe County","0595",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950615","Dakota Territory","095","Foster County","0615",,,,,,,19,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,
"G0950617","Dakota Territory","095","Fort Sisseton County","0617",,,,,,,113,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,
"G0950635","Dakota Territory","095","Gingras County","0635",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950655","Dakota Territory","095","Grand Forks County","0655",,,,,,,3728,,,,,,,,,,,,,,,,,,,,2520,,,,,,,,,,,,,
"G0950675","Dakota Territory","095","Grant County","0675",,,,,,,1897,,,,,,,,,,,,,,,,,,,,1113,,,,,,,,,,,,,
"G0950695","Dakota Territory","095","Gregory County","0695",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950715","Dakota Territory","095","Hamlin County","0715",,,,,,,433,,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,
"G0950735","Dakota Territory","095","Hand County","0735",,,,,,,131,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,
"G0950755","Dakota Territory","095","Hanson County","0755",,,,,,,771,,,,,,,,,,,,,,,,,,,,530,,,,,,,,,,,,,
"G0950775","Dakota Territory","095","Howard County","0775",,,,,,,12,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950795","Dakota Territory","095","Hughes County","0795",,,,,,,158,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,
"G0950815","Dakota Territory","095","Hutchinson County","0815",,,,,,25,2908,,,,,,,,,,,,,,,,,,,12,2665,,,,,,,,,,,,,
"G0950835","Dakota Territory","095","Hyde County","0835",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0950855","Dakota Territory","095","Jayne County","0855",,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
"G0950875","Dakota Territory","095","Kidder County","0875",,,,,,,80,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,
"G0950895","Dakota Territory","095","Kingsbury County","0895",,,,,,,690,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,,,
"G0950915","Dakota Territory","095","La Moure County","0915",,,,,,,17,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
"G0950935","Dakota Territory","095","Lake County","0935",,,,,,,1521,,,,,,,,,,,,,,,,,,,,1136,,,,,,,,,,,,,
"G0950955","Dakota Territory","095","Lawrence County","0955",,,,,,,10122,,,,,,,,,,,,,,,,,,,,3126,,,,,,,,,,,,,
"G0950975","Dakota Territory","095","Lincoln County","0975",,,,,,404,3164,,,,,,,,,,,,,,,,,,,308,2732,,,,,,,,,,,,,
"G0950995","Dakota Territory","095","Logan County","0995",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0951015","Dakota Territory","095","Lugenbeel County","1015",,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
"G0951035","Dakota Territory","095","Lyman County","1035",,,,,,,94,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,
