"","gisjoin","year","diff","male","female"
"4881","G1300370",1860,0.004,2474,2439
"4882","G1300390",1860,-0.001,2707,2713
"4883","G1300395",1860,-0.003,4125,4176
"4884","G1300450",1860,0.005,6060,5931
"4885","G1300455",1860,0.008,7992,7732
"4886","G1300470",1860,0.005,2565,2517
"4887","G1300490",1860,0.067,1010,770
"4888","G1300510",1860,0.016,16013,15030
"4889","G1300530",1860,-0.001,2890,2907
"4890","G1300550",1860,0.002,3597,3568
"4891","G1300570",1860,-0.001,5635,5656
"4892","G1300590",1860,-0.019,5392,5826
"4893","G1300610",1860,0.005,2470,2423
"4894","G1300630",1860,-0.005,2209,2257
"4895","G1300650",1860,0.025,1608,1455
"4896","G1300670",1860,-0.003,7074,7168
"4897","G1300690",1860,-0.002,1435,1444
"4898","G1300710",1860,0.012,674,642
"4899","G1300730",1860,0.002,5957,5903
"4900","G1300770",1860,-0.007,7248,7455
"4901","G1300790",1860,0.014,3951,3742
"4902","G1300830",1860,0.014,1579,1490
"4903","G1300850",1860,-0.017,1864,1992
"4904","G1300870",1860,0.01,6077,5845
"4905","G1300890",1860,-0.004,3872,3934
"4906","G1300930",1860,-0.002,4441,4476
"4907","G1300950",1860,0.022,4333,3962
"4908","G1300990",1860,0.019,3193,2956
"4909","G1301010",1860,0.019,774,717
"4910","G1301030",1860,0.003,2393,2362
"4911","G1301050",1860,0.008,5295,5138
"4912","G1301070",1860,0.005,2565,2516
"4913","G1301110",1860,-0.002,2559,2580
"4914","G1301130",1860,0,3526,3521
"4915","G1301150",1860,0.01,7742,7453
"4916","G1301170",1860,0,3878,3871
"4917","G1301190",1860,-0.004,3666,3727
"4918","G1301210",1860,0.006,7306,7121
"4919","G1301230",1860,-0.002,3347,3377
"4920","G1301250",1860,0.004,1229,1208
"4921","G1301270",1860,-0.019,1869,2020
"4922","G1301290",1860,0.005,5120,5026
"4923","G1301330",1860,0.001,6342,6310
"4924","G1301350",1860,-0.007,6374,6566
"4925","G1301370",1860,-0.009,2932,3034
"4926","G1301390",1860,-0.005,4637,4729
"4927","G1301410",1860,0.013,6180,5864
"4928","G1301430",1860,0.007,1542,1497
"4929","G1301450",1860,-0.008,6763,6973
"4930","G1301470",1860,-0.002,3059,3078
"4931","G1301490",1860,0.006,3953,3852
"4932","G1301510",1860,-0.002,5333,5369
"4933","G1301530",1860,0.006,7900,7711
"4934","G1301550",1860,0.023,888,811
"4935","G1301570",1860,-0.004,5255,5350
"4936","G1301590",1860,0.01,5476,5267
"4937","G1301630",1860,0.01,5212,5007
"4938","G1301670",1860,0.009,1486,1433
"4939","G1301690",1860,0.009,4634,4473
"4940","G1301750",1860,0.011,3573,3425
"4941","G1301770",1860,0.009,3664,3532
"4942","G1301790",1860,-0.005,4152,4238
"4943","G1301810",1860,-0.004,2701,2742
"4944","G1301850",1860,0.033,2797,2452
"4945","G1301870",1860,-0.006,2284,2342
"4946","G1301910",1860,-0.005,2745,2801
"4947","G1301930",1860,-0.002,4204,4245
"4948","G1301950",1860,-0.014,2882,3051
"4949","G1301970",1860,0,3696,3694
"4950","G1301990",1860,0.006,7760,7570
"4951","G1302010",1860,-0.003,890,901
"4952","G1302015",1860,-0.003,2289,2313
"4953","G1302050",1860,0.006,2178,2130
"4954","G1302070",1860,0.003,8032,7921
"4955","G1302090",1860,0.008,1523,1474
"4956","G1302110",1860,0.001,5006,4991
"4957","G1302130",1860,-0.008,3485,3598
"4958","G1302150",1860,0.004,8361,8223
"4959","G1302170",1860,-0.001,7140,7180
"4960","G1302210",1860,-0.004,5723,5826
"4961","G1302230",1860,-0.004,3491,3547
"4962","G1302270",1860,-0.002,2467,2484
"4963","G1302290",1860,0.016,1018,955
"4964","G1302310",1860,0.006,5102,4976
"4965","G1302330",1860,0,3147,3148
"4966","G1302350",1860,0.016,4514,4230
"4967","G1302370",1860,0.007,5132,4993
"4968","G1302390",1860,0.006,1770,1729
"4969","G1302410",1860,0.005,1653,1618
"4970","G1302430",1860,0.003,4812,4759
"4971","G1302450",1860,-0.011,10412,10872
"4972","G1302490",1860,-0.001,2314,2319
"4973","G1302510",1860,0.01,4217,4057
"4974","G1302550",1860,-0.001,4339,4360
"4975","G1302590",1860,0.005,6773,6649
"4976","G1302610",1860,0.01,4806,4622
"4977","G1302630",1860,0.005,6877,6739
"4978","G1302650",1860,-0.012,2238,2345
"4979","G1302670",1860,0.015,2240,2112
"4980","G1302690",1860,0.006,3033,2965
"4981","G1302710",1860,-0.001,1355,1358
"4982","G1302730",1860,0.012,3193,3039
"4983","G1302750",1860,0.008,5466,5300
"4984","G1302810",1860,0.01,1253,1206
"4985","G1302850",1860,0.009,8284,7978
"4986","G1302890",1860,0.003,4184,4136
"4987","G1302910",1860,0.007,2237,2176
"4988","G1302930",1860,-0.004,4919,4991
"4989","G1302950",1860,0.005,5089,4993
"4990","G1302970",1860,-0.007,5460,5614
"4991","G1302990",1860,0.034,1175,1025
"4992","G1303010",1860,-0.005,4865,4955
"4993","G1303030",1860,0.011,6490,6208
"4994","G1303050",1860,0.011,1159,1109
"4995","G1303070",1860,0.009,2560,2470
"4996","G1303110",1860,-0.001,1654,1661
"4997","G1303130",1860,0.005,5071,4976
"4998","G1303150",1860,0.016,1091,1024
"4999","G1303170",1860,-0.004,5669,5751
"5000","G1303190",1860,0.005,4737,4639
"5001","G1303210",1860,0.003,1390,1373
"5002","G1700010",1860,0.015,21278,20045
"5003","G1700030",1860,0.057,2623,2084
"5004","G1700050",1860,0.038,5278,4537
"5005","G1700070",1860,0.017,6041,5637
"5006","G1700090",1860,0.03,5264,4674
"5007","G1700110",1860,0.037,14202,12224
"5008","G1700130",1860,0.061,2884,2260
"5009","G1700150",1860,0.035,6274,5459
"5010","G1700170",1860,0.04,6114,5211
"5011","G1700190",1860,0.04,7898,6731
"5012","G1700210",1860,0.039,5659,4833
"5013","G1700230",1860,0.016,7738,7249
"5014","G1700250",1860,0.022,4873,4463
"5015","G1700270",1860,0.059,6113,4828
"5016","G1700290",1860,0.027,7482,6721
"5017","G1700310",1860,0.015,74683,70271
"5018","G1700330",1860,0.015,5953,5598
"5019","G1700350",1860,0.011,4246,4065
"5020","G1700370",1860,0.03,10111,8975
"5021","G1700390",1860,0.031,5748,5072
"5022","G1700410",1860,0.058,3986,3154
"5023","G1700430",1860,0.025,7723,6978
"5024","G1700450",1860,0.018,8765,8160
"5025","G1700470",1860,0.023,2850,2604
"5026","G1700490",1860,0.037,4196,3620
"5027","G1700510",1860,0.024,5861,5328
"5028","G1700530",1860,0.044,1077,902
"5029","G1700550",1860,0.013,4821,4572
"5030","G1700570",1860,0.018,17276,16062
"5031","G1700590",1860,0.009,4097,3958
"5032","G1700610",1860,0.029,8514,7579
"5033","G1700630",1860,0.041,5613,4766
"5034","G1700650",1860,0.013,5082,4833
"5035","G1700670",1860,0.026,15282,13779
"5036","G1700690",1860,0.012,1924,1835
"5037","G1700710",1860,0.033,5064,4437
"5038","G1700730",1860,0.031,10968,9692
"5039","G1700750",1860,0.033,6573,5752
"5040","G1700770",1860,0.03,5079,4510
"5041","G1700790",1860,0.021,4355,4009
"5042","G1700810",1860,0.015,6679,6286
"5043","G1700830",1860,0.035,6453,5598
"5044","G1700850",1860,0.019,14186,13139
"5045","G1700870",1860,0.021,4865,4477
"5046","G1700890",1860,0.021,15658,14404
"5047","G1700910",1860,0.028,8134,7278
"5048","G1700930",1860,0.029,6922,6152
"5049","G1700950",1860,0.022,14974,13689
"5050","G1700970",1860,0.018,9451,8806
"5051","G1700990",1860,0.03,25610,22722
"5052","G1701010",1860,0.03,4884,4330
"5053","G1701030",1860,0.025,9263,8388
"5054","G1701050",1860,0.046,6352,5285
"5055","G1701070",1860,0.052,7874,6398
"5056","G1701090",1860,0.029,10614,9455
"5057","G1701110",1860,0.019,11463,10626
"5058","G1701130",1860,0.028,15183,13589
"5059","G1701150",1860,0.033,7327,6411
"5060","G1701170",1860,0.032,13078,11524
"5061","G1701190",1860,0.037,16783,14468
"5062","G1701210",1860,0.017,6588,6151
"5063","G1701230",1860,0.036,7206,6231
"5064","G1701250",1860,0.051,6028,4903
"5065","G1701270",1860,0.028,3282,2931
"5066","G1701290",1860,0.034,5121,4463
"5067","G1701310",1860,0.039,8109,6933
"5068","G1701330",1860,0.05,7054,5778
"5069","G1701350",1860,0.036,7486,6493
"5070","G1701370",1860,0.025,11602,10510
"5071","G1701390",1860,0.033,3405,2980
"5072","G1701410",1860,0.035,12239,10649
"5073","G1701430",1860,0.022,19096,17505
"5074","G1701450",1860,0.03,5058,4494
"5075","G1701470",1860,0.063,3452,2675
"5076","G1701490",1860,0.019,14148,13101
"5077","G1701510",1860,0.016,3482,3260
"5078","G1701530",1860,0.05,2167,1776
"5079","G1701550",1860,0.033,2978,2609
"5080","G1701570",1860,0.032,9161,8044
"5081","G1701590",1860,0.022,5073,4638
"5082","G1701610",1860,0.02,10921,10084
"5083","G1701630",1860,0.047,20625,17069
"5084","G1701650",1860,0.01,4762,4569
"5085","G1701670",1860,0.03,17091,15183
"5086","G1701690",1860,0.023,7674,7010
"5087","G1701710",1860,0.028,4784,4285
"5088","G1701730",1860,0.029,7723,6890
"5089","G1701750",1860,0.035,4820,4184
"5090","G1701770",1860,0.022,13115,11997
"5091","G1701790",1860,0.034,11472,9998
"5092","G1701810",1860,0.02,5813,5368
"5093","G1701830",1860,0.03,10501,9299
"5094","G1701850",1860,0.005,3692,3621
"5095","G1701870",1860,0.033,9776,8560
"5096","G1701890",1860,0.036,7358,6373
"5097","G1701910",1860,0.01,6234,5989
"5098","G1701930",1860,0.015,6387,6016
"5099","G1701950",1860,0.037,10057,8680
"5100","G1701970",1860,0.04,15832,13489
"5101","G1701990",1860,0.014,6271,5934
"5102","G1702010",1860,0.013,12573,11918
"5103","G1702030",1860,0.044,7224,6058
"5104","G1800010",1860,0.023,4841,4411
"5105","G1800030",1860,0.024,15382,13946
"5106","G1800050",1860,0.014,9179,8686
"5107","G1800070",1860,0.061,1575,1234
"5108","G1800090",1860,0.022,2153,1969
"5109","G1800110",1860,0.018,8684,8069
"5110","G1800130",1860,0.019,3376,3131
"5111","G1800150",1860,0.022,7048,6441
"5112","G1800170",1860,0.025,8844,7999
"5113","G1800190",1860,0.021,10672,9830
"5114","G1800210",1860,0.022,6348,5813
"5115","G1800230",1860,0.015,7474,7031
"5116","G1800250",1860,0.029,4355,3871
"5117","G1800270",1860,0.012,6815,6508
"5118","G1800290",1860,0.019,12675,11731
"5119","G1800310",1860,0.01,8824,8470
"5120","G1800330",1860,0.016,7163,6717
"5121","G1800350",1860,0.019,8181,7572
"5122","G1800370",1860,0.013,5337,5057
"5123","G1800390",1860,0.025,11028,9958
"5124","G1800410",1860,0.008,5192,5033
"5125","G1800430",1860,0.003,10147,10036
"5126","G1800450",1860,0.021,8109,7457
"5127","G1800470",1860,0.012,10018,9531
"5128","G1800490",1860,0.03,4990,4432
"5129","G1800510",1860,0.022,7579,6953
"5130","G1800530",1860,0.017,8164,7633
"5131","G1800550",1860,0.011,8204,7837
"5132","G1800570",1860,0.008,8792,8518
"5133","G1800590",1860,0.011,6538,6264
"5134","G1800610",1860,0.015,9535,8986
"5135","G1800630",1860,0.013,8697,8256
"5136","G1800650",1860,0.009,10241,9878
"5137","G1800670",1860,0.018,6485,6039
"5138","G1800690",1860,0.022,7763,7104
"5139","G1800710",1860,0.021,8490,7796
"5140","G1800730",1860,0.02,2231,2060
"5141","G1800750",1860,0.02,5928,5471
"5142","G1800770",1860,0.004,12629,12407
"5143","G1800790",1860,0.021,7687,7062
"5144","G1800810",1860,0.018,7700,7154
"5145","G1800830",1860,0.033,8558,7498
"5146","G1800850",1860,0.013,8943,8475
"5147","G1800870",1860,0.018,5893,5473
"5148","G1800890",1860,0.037,4914,4231
"5149","G1800910",1860,0.024,12017,10902
"5150","G1800930",1860,0.021,7138,6554
"5151","G1800950",1860,0.017,8532,7986
"5152","G1800970",1860,0.013,20460,19395
"5153","G1800990",1860,0.027,6703,6019
"5154","G1801010",1860,0.015,4618,4357
"5155","G1801030",1860,0.019,8752,8099
"5156","G1801050",1860,0.01,6547,6300
"5157","G1801070",1860,0.017,10804,10084
"5158","G1801090",1860,0.009,8200,7910
"5159","G1801110",1860,0.033,1257,1103
"5160","G1801130",1860,0.015,7686,7229
"5161","G1801150",1860,0.011,2791,2671
"5162","G1801170",1860,0.009,6148,5928
"5163","G1801190",1860,0.009,7314,7062
"5164","G1801210",1860,0.02,8083,7455
"5165","G1801230",1860,0.015,6107,5740
"5166","G1801250",1860,0.021,5247,4831
"5167","G1801270",1860,0.027,5440,4873
"5168","G1801290",1860,0.034,8641,7526
"5169","G1801310",1860,0.025,2998,2713
"5170","G1801330",1860,0.016,10679,10002
"5171","G1801350",1860,0.017,9830,9167
"5172","G1801370",1860,0.017,9846,9208
"5173","G1801390",1860,0.014,8320,7873
"5174","G1801410",1860,0.02,9602,8853
"5175","G1801430",1860,0.014,3754,3549
"5176","G1801450",1860,0.014,10057,9512
"5177","G1801470",1860,0.027,7674,6882
"5178","G1801490",1860,0.053,1214,981
"5179","G1801510",1860,0.021,5406,4968
"5180","G1801530",1860,0.017,7786,7278
"5181","G1801550",1860,0.01,6472,6226
"5182","G1801570",1860,0.029,13619,12107
"5183","G1801590",1860,0.007,4139,4031
"5184","G1801610",1860,0.015,3662,3447
"5185","G1801630",1860,0.028,10861,9691
"5186","G1801650",1860,0.024,4940,4482
"5187","G1801670",1860,0.009,11462,11055
"5188","G1801690",1860,0.016,9054,8493
"5189","G1801710",1860,0.032,5347,4710
"5190","G1801730",1860,0.015,6832,6429
"5191","G1801750",1860,0.013,9188,8721
"5192","G1801770",1860,0.011,15107,14451
"5193","G1801790",1860,0.018,5617,5227
"5194","G1801810",1860,0.029,4367,3891
"5195","G1801830",1860,0.018,5561,5169
"5196","G1900010",1860,0.045,536,448
"5197","G1900030",1860,0.036,822,711
"5198","G1900050",1860,0.024,6411,5826
"5199","G1900070",1860,0.023,6242,5689
"5200","G1900090",1860,0.026,239,215
"5201","G1900110",1860,0.028,4482,4014
"5202","G1900130",1860,0.02,4291,3953
"5203","G1900150",1860,0.028,2233,1999
"5204","G1900170",1860,0.034,2623,2292
"5205","G1900190",1860,0.027,4166,3740
"5206","G1900210",1860,0.132,36,21
"5207","G1900215",1860,NA,NA,NA
"5208","G1900230",1860,0.031,1978,1746
"5209","G1900250",1860,0.071,84,63
"5210","G1900270",1860,0.005,142,139
"5211","G1900290",1860,0.066,913,699
"5212","G1900310",1860,0.033,6902,6047
"5213","G1900330",1860,0.037,505,435
"5214","G1900350",1860,0.103,35,23
"5215","G1900370",1860,0.022,2263,2073
"5216","G1900390",1860,0.019,2818,2609
"5217","G1900410",1860,0.096,31,21
"5218","G1900430",1860,0.035,11084,9644
"5219","G1900450",1860,0.03,10044,8894
"5220","G1900470",1860,0.025,201,182
"5221","G1900490",1860,0.029,2776,2468
"5222","G1900510",1860,0.017,7116,6648
"5223","G1900530",1860,0.02,4509,4168
"5224","G1900550",1860,0.025,5788,5236
"5225","G1900570",1860,0.022,10239,9372
"5226","G1900590",1860,0.128,113,67
"5227","G1900610",1860,0.02,16206,14958
"5228","G1900630",1860,0.071,60,45
"5229","G1900650",1860,0.029,6389,5684
"5230","G1900670",1860,0.031,1987,1757
"5231","G1900690",1860,0.047,716,593
"5232","G1900710",1860,0.048,2780,2294
"5233","G1900730",1860,0.036,736,638
"5234","G1900750",1860,0.04,428,365
"5235","G1900770",1860,0.032,1626,1432
"5236","G1900790",1860,0.033,906,793
"5237","G1900810",1860,0.031,95,84
"5238","G1900830",1860,0.02,2830,2610
"5239","G1900850",1860,0.045,1974,1647
"5240","G1900870",1860,0.013,9601,9100
"5241","G1900890",1860,0.033,1690,1478
"5242","G1900910",1860,0.066,188,144
"5243","G1900930",1860,0.081,25,18
"5244","G1900950",1860,0.036,4304,3725
"5245","G1900970",1860,0.021,9633,8860
"5246","G1900990",1860,0.033,5270,4613
"5247","G1901010",1860,0.018,7786,7252
"5248","G1901030",1860,0.016,9071,8502
"5249","G1901050",1860,0.031,7066,6240
"5250","G1901070",1860,0.024,6948,6323
"5251","G1901090",1860,0.058,232,184
"5252","G1901110",1860,0.017,15125,14107
"5253","G1901130",1860,0.026,9960,8987
"5254","G1901150",1860,0.026,5454,4916
"5255","G1901170",1860,0.028,3045,2721
"5256","G1901210",1860,0.014,3771,3568
"5257","G1901230",1860,0.018,7678,7138
"5258","G1901250",1860,0.019,8721,8092
"5259","G1901270",1860,0.027,3169,2846
"5260","G1901290",1860,0.047,2451,2030
"5261","G1901310",1860,0.045,1858,1551
"5262","G1901330",1860,0.046,454,378
"5263","G1901350",1860,0.014,4423,4189
"5264","G1901370",1860,0.025,660,596
"5265","G1901390",1860,0.023,8605,7839
"5266","G1901410",1860,0,4,4
"5267","G1901430",1860,NA,NA,NA
"5268","G1901450",1860,0.039,2384,2035
"5269","G1901470",1860,0.068,75,57
"5270","G1901490",1860,0.054,82,66
"5271","G1901510",1860,-0.005,51,52
"5272","G1901530",1860,0.022,6064,5561
"5273","G1901550",1860,0.034,2651,2317
"5274","G1901570",1860,0.028,2995,2673
"5275","G1901590",1860,0.027,1539,1384
"5276","G1901610",1860,0.053,136,110
"5277","G1901630",1860,0.024,13600,12359
"5278","G1901650",1860,0.042,443,375
"5279","G1901670",1860,0.4,9,1
"5280","G1901690",1860,0.017,2096,1955
"5281","G1901710",1860,0.029,2796,2489
"5282","G1901730",1860,0.03,1903,1687
"5283","G1901750",1860,0.033,1072,940
"5284","G1901770",1860,0.031,9069,8012
"5285","G1901790",1860,0.022,7572,6946
"5286","G1901810",1860,0.013,5279,5002
"5287","G1901830",1860,0.027,7498,6737
"5288","G1901850",1860,0.03,3399,3010
"5289","G1901870",1860,0.027,1319,1185
"5290","G1901890",1860,0.054,93,75
"5291","G1901910",1860,0.036,7470,6472
"5292","G1901930",1860,0.042,606,513
"5293","G1901950",1860,0.022,395,361
"5294","G1901970",1860,0.036,350,303
"5295","G2050015",1860,0.058,1720,1362
"5296","G2050035",1860,0.055,1331,1069
"5297","G2050055",1860,0.454,32691,1586
"5298","G2050075",1860,0.057,4302,3427
"5299","G2050095",1860,0.047,3337,2764
"5300","G2050115",1860,0.065,1805,1392
"5301","G2050135",1860,0.068,1482,1125
"5302","G2050155",1860,0.054,242,195
"5303","G2050175",1860,0.082,470,338
"5304","G2050195",1860,0.095,97,66
"5305","G2050215",1860,0.065,1607,1235
"5306","G2050255",1860,0.085,680,483
"5307","G2050275",1860,0.124,236,142
"5308","G2050295",1860,0.048,4427,3656
"5309","G2050315",1860,0.023,46,42
"5310","G2050335",1860,0.061,4848,3789
"5311","G2050355",1860,0.052,1673,1357
"5312","G2050375",1860,0.237,14,5
"5313","G2050395",1860,0.064,428,331
"5314","G2050415",1860,0.057,88,70
"5315","G2050435",1860,0.032,1030,906
"5316","G2050455",1860,0.06,2496,1963
"5317","G2050475",1860,0.049,2397,1967
"5318","G2050495",1860,0.041,6824,5782
"5319","G2050515",1860,0.034,3386,2950
"5320","G2050535",1860,0.043,815,686
"5321","G2050555",1860,0.06,356,280
"5322","G2050575",1860,0.108,45,29
"5323","G2050595",1860,0.056,1267,1013
"5324","G2050615",1860,0.041,2695,2285
"5325","G2050635",1860,0.069,438,332
"5326","G2050655",1860,0.042,1321,1115
"5327","G2050695",1860,0.051,613,500
"5328","G2050715",1860,0.071,136,102
"5329","G2050735",1860,0.043,830,699
"5330","G2050755",1860,0.088,720,504
"5331","G2050795",1860,0.045,1915,1598
"5332","G2050815",1860,0.077,590,433
"5333","G2050835",1860,0.098,229,154
"5334","G2050855",1860,0.093,16,11
"5335","G2050875",1860,0.06,834,654
"5336","G2052090",1860,0.034,1392,1217
"5337","G2100010",1860,-0.001,4748,4761
"5338","G2100030",1860,-0.002,4574,4613
"5339","G2100050",1860,0.013,3795,3609
"5340","G2100070",1860,0.016,4487,4205
"5341","G2100090",1860,0.007,8445,8220
"5342","G2100110",1860,0.011,6184,5929
"5343","G2100150",1860,0.018,5798,5398
"5344","G2100170",1860,0.025,7801,7059
"5345","G2100190",1860,0.009,3079,2965
"5346","G2100210",1860,0.017,4810,4494
"5347","G2100230",1860,0.012,5643,5378
"5348","G2100250",1860,0.007,2523,2457
"5349","G2100270",1860,0.006,6704,6532
"5350","G2100290",1860,0.011,3726,3563
"5351","G2100310",1860,0.012,4059,3868
"5352","G2100330",1860,0.016,4810,4508
"5353","G2100350",1860,0.011,5069,4846
"5354","G2100370",1860,0.008,10621,10288
"5355","G2100410",1860,0.01,3353,3225
"5356","G2100430",1860,0.028,4497,4019
"5357","G2100450",1860,-0.002,3222,3244
"5358","G2100470",1860,0.024,11337,10290
"5359","G2100490",1860,0.017,5934,5550
"5360","G2100510",1860,0,3323,3329
"5361","G2100530",1860,0,2888,2893
"5362","G2100550",1860,0.018,4556,4240
"5363","G2100570",1860,0.006,3715,3625
"5364","G2100590",1860,0.029,8232,7317
"5365","G2100610",1860,0.007,2353,2292
"5366","G2100650",1860,0.011,3516,3370
"5367","G2100670",1860,0.012,11580,11019
"5368","G2100690",1860,0.008,6347,6142
"5369","G2100710",1860,0.015,3290,3098
"5370","G2100730",1860,0.025,6661,6033
"5371","G2100750",1860,0.013,2725,2592
"5372","G2100770",1860,0.01,2577,2479
"5373","G2100790",1860,0.015,5423,5108
"5374","G2100810",1860,0.01,4261,4095
"5375","G2100830",1860,0.02,8445,7788
"5376","G2100850",1860,-0.003,3970,4012
"5377","G2100870",1860,0.001,4415,4391
"5378","G2100890",1860,0.018,4539,4221
"5379","G2100910",1860,0.018,3218,2995
"5380","G2100930",1860,0.013,7785,7404
"5381","G2100950",1860,0.003,2765,2729
"5382","G2100970",1860,0.019,7150,6629
"5383","G2100990",1860,0.014,5318,5030
"5384","G2101010",1860,0.033,7608,6654
"5385","G2101030",1860,0.019,6206,5743
"5386","G2101050",1860,0.023,3663,3345
"5387","G2101070",1860,0.007,6017,5858
"5388","G2101090",1860,0.014,1587,1500
"5389","G2101110",1860,0.007,45358,44046
"5390","G2101130",1860,0.024,4956,4509
"5391","G2101150",1860,0.012,2718,2588
"5392","G2101170",1860,0.002,12794,12673
"5393","G2101210",1860,0.004,3886,3821
"5394","G2101230",1860,0.013,3535,3356
"5395","G2101250",1860,-0.002,2731,2757
"5396","G2101270",1860,0.019,3946,3655
"5397","G2101330",1860,0.011,1994,1910
"5398","G2101350",1860,0.009,4252,4109
"5399","G2101370",1860,0.014,5470,5177
"5400","G2101390",1860,0.017,3729,3484
"5401","G2101410",1860,0.011,9715,9306
"5402","G2101430",1860,0.038,2857,2450
"5403","G2101450",1860,0.024,5427,4933
"5404","G2101490",1860,0.016,3168,2976
"5405","G2101510",1860,0.016,8887,8320
"5406","G2101530",1860,0.017,1802,1683
"5407","G2101550",1860,0.003,6334,6259
"5408","G2101570",1860,0.021,3638,3344
"5409","G2101610",1860,-0.005,9016,9206
"5410","G2101630",1860,0.013,4569,4329
"5411","G2101670",1860,0.005,6921,6780
"5412","G2101690",1860,0.004,3400,3345
"5413","G2101710",1860,-0.004,4239,4312
"5414","G2101730",1860,0.015,4045,3814
"5415","G2101750",1860,0.013,4738,4499
"5416","G2101770",1860,0.009,5456,5269
"5417","G2101790",1860,0,7900,7899
"5418","G2101810",1860,0.013,5655,5375
"5419","G2101830",1860,0.02,6348,5861
"5420","G2101850",1860,0.006,3688,3595
"5421","G2101870",1860,0.015,6549,6170
"5422","G2101890",1860,0.016,2753,2582
"5423","G2101910",1860,0.018,5410,5033
"5424","G2101930",1860,0.025,2074,1876
"5425","G2101950",1860,0.009,3755,3629
"5426","G2101970",1860,-0.008,1111,1146
"5427","G2101990",1860,0.005,8683,8518
"5428","G2102030",1860,0.007,2709,2634
"5429","G2102050",1860,0,1140,1142
"5430","G2102070",1860,0,3011,3013
"5431","G2102090",1860,0.02,7490,6927
"5432","G2102110",1860,0.021,8561,7872
"5433","G2102130",1860,0.007,4129,4017
"5434","G2102150",1860,0.017,3197,2991
"5435","G2102170",1860,-0.002,3724,3757
"5436","G2102190",1860,0.011,5911,5664
"5437","G2102210",1860,0.022,5764,5287
"5438","G2102230",1860,0.006,2973,2907
"5439","G2102250",1860,0.037,6872,5919
"5440","G2102270",1860,0.023,9057,8263
"5441","G2102290",1860,0.016,5978,5597
"5442","G2102310",1860,0.005,5182,5077
"5443","G2102330",1860,0.017,3898,3635
"5444","G2102350",1860,0.006,3924,3838
"5445","G2102390",1860,0.03,5941,5278
"5446","G2200050",1860,0.027,6057,5427
"5447","G2200070",1860,0.04,8312,7067
"5448","G2200090",1860,0.054,7295,5872
"5449","G2200130",1860,0.055,6102,4898
"5450","G2200150",1860,0.028,5991,5357
"5451","G2200170",1860,0.037,6523,5617
"5452","G2200190",1860,0.026,3117,2811
"5453","G2200210",1860,0.007,2452,2381
"5454","G2200235",1860,0.019,9378,8674
"5455","G2200250",1860,0.021,6074,5577
"5456","G2200270",1860,0.011,8610,8238
"5457","G2200290",1860,0.02,7177,6628
"5458","G2200310",1860,0.013,6824,6474
"5459","G2200330",1860,0.023,8387,7659
"5460","G2200370",1860,-0.002,7312,7385
"5461","G2200410",1860,0.016,3181,2981
"5462","G2200470",1860,0.053,8114,6547
"5463","G2200490",1860,0.017,4897,4568
"5464","G2200510",1860,0.035,8221,7151
"5465","G2200550",1860,0.006,4558,4445
"5466","G2200570",1860,0.037,7538,6506
"5467","G2200630",1860,0.019,2301,2130
"5468","G2200650",1860,0.024,7409,6724
"5469","G2200670",1860,0.021,5400,4957
"5470","G2200690",1860,0.014,8590,8109
"5471","G2200710",1860,0.006,88325,86166
"5472","G2200730",1860,0.013,2423,2304
"5473","G2200750",1860,0.052,4691,3803
"5474","G2200770",1860,0.027,9337,8381
"5475","G2200790",1860,0.032,13486,11874
"5476","G2200850",1860,0.024,3056,2772
"5477","G2200870",1860,0.11,2487,1589
"5478","G2200890",1860,0.065,2992,2305
"5479","G2200910",1860,0.021,3715,3415
"5480","G2200930",1860,0.048,6303,5196
"5481","G2200950",1860,0.052,4374,3556
"5482","G2200970",1860,0.011,11813,11291
"5483","G2200990",1860,0.03,6719,5955
"5484","G2201010",1860,0.053,9306,7510
"5485","G2201030",1860,0.035,2891,2515
"5486","G2201070",1860,0.022,8385,7693
"5487","G2201090",1860,0.033,6441,5650
"5488","G2201110",1860,0.013,5334,5055
"5489","G2201130",1860,0.013,2220,2104
"5490","G2201170",1860,0.013,2416,2292
"5491","G2201210",1860,0.024,3833,3479
"5492","G2201250",1860,0.014,5998,5673
"5493","G2201270",1860,0.028,3629,3247
"5494","G2300010",1860,-0.008,14617,15109
"5495","G2300030",1860,0.044,12221,10258
"5496","G2300050",1860,-0.008,37162,38429
"5497","G2300070",1860,0.01,10412,9991
"5498","G2300090",1860,0.012,19331,18426
"5499","G2300110",1860,-0.005,27571,28084
"5500","G2300130",1860,0.003,16459,16257
"5501","G2300150",1860,0.01,14214,13646
"5502","G2300170",1860,0.012,18801,17897
"5503","G2300190",1860,0.019,37731,35000
"5504","G2300210",1860,0.019,7809,7223
"5505","G2300230",1860,-0.001,10882,10908
"5506","G2300250",1860,0.015,18921,17832
"5507","G2300270",1860,0.013,19730,18717
"5508","G2300290",1860,0.009,21645,20889
"5509","G2300310",1860,-0.022,29683,32424
"5510","G2400010",1860,0.008,14404,13944
"5511","G2400030",1860,0.031,12696,11204
"5512","G2400050",1860,0.012,27740,26395
"5513","G2400090",1860,0.006,5281,5166
"5514","G2400110",1860,0.01,5672,5457
"5515","G2400130",1860,0.003,12347,12186
"5516","G2400150",1860,0.011,12200,11662
"5517","G2400170",1860,0.008,8397,8120
"5518","G2400190",1860,0.009,10411,10050
"5519","G2400210",1860,-0.005,23084,23507
