GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,A08AA,A08AB
"G1303050","1820","Georgia","130","Wayne","3050","Wayne",515,495
"G1303170","1820","Georgia","130","Wilkes","3170","Wilkes",8942,8664
"G1303190","1820","Georgia","130","Wilkinson","3190","Wilkinson",3568,3424
"G1700030","1820","Illinois","170","Alexander","0030","Alexander",293,333
"G1700050","1820","Illinois","170","Bond","0050","Bond",1572,1359
"G1700230","1820","Illinois","170","Clark","0230","Clark",490,441
"G1700330","1820","Illinois","170","Crawford","0330","Crawford",1568,1431
"G1700470","1820","Illinois","170","Edwards","0470","Edwards",1872,1572
"G1700550","1820","Illinois","170","Franklin","0550","Franklin",909,854
"G1700590","1820","Illinois","170","Gallatin","0590","Gallatin",1829,1326
"G1700770","1820","Illinois","170","Jackson","0770","Jackson",868,674
"G1700810","1820","Illinois","170","Jefferson","0810","Jefferson",388,303
"G1700870","1820","Illinois","170","Johnson","0870","Johnson",439,404
"G1701190","1820","Illinois","170","Madison","1190","Madison",7622,5928
"G1701330","1820","Illinois","170","Monroe","1330","Monroe",841,675
"G1701510","1820","Illinois","170","Pope","1510","Pope",1338,1272
"G1701570","1820","Illinois","170","Randolph","1570","Randolph",1921,1571
"G1701630","1820","Illinois","170","St Clair","1630","St Clair",2959,2289
"G1701810","1820","Illinois","170","Union","1810","Union",1268,1094
"G1701890","1820","Illinois","170","Washington","1890","Washington",855,662
"G1701910","1820","Illinois","170","Wayne","1910","Wayne",576,538
"G1701930","1820","Illinois","170","White","1930","White",2578,2250
"G1800190","1820","Indiana","180","Clark","0190","Clark",4546,4163
"G1800250","1820","Indiana","180","Crawford","0250","Crawford",1380,1203
"G1800270","1820","Indiana","180","Daviess","0270","Daviess",1825,1607
"G1800290","1820","Indiana","180","Dearborn","0290","Dearborn",6072,5396
"G1800350","1820","Indiana","180","Delaware","0350","Delaware",1918,1759
"G1800370","1820","Indiana","180","Dubois","0370","Dubois",615,553
"G1800410","1820","Indiana","180","Fayette","0410","Fayette",3105,2845
"G1800430","1820","Indiana","180","Floyd","0430","Floyd",1467,1309
"G1800470","1820","Indiana","180","Franklin","0470","Franklin",5522,5241
"G1800510","1820","Indiana","180","Gibson","0510","Gibson",2079,1797
"G1800610","1820","Indiana","180","Harrison","0610","Harrison",4074,3801
"G1800710","1820","Indiana","180","Jackson","0710","Jackson",2126,1884
"G1800770","1820","Indiana","180","Jefferson","0770","Jefferson",4188,3850
"G1800790","1820","Indiana","180","Jennings","0790","Jennings",1062,938
"G1800830","1820","Indiana","180","Knox","0830","Knox",2997,2440
"G1800930","1820","Indiana","180","Lawrence","0930","Lawrence",2159,1957
"G1801010","1820","Indiana","180","Martin","1010","Martin",610,422
"G1801050","1820","Indiana","180","Monroe","1050","Monroe",1424,1255
"G1801170","1820","Indiana","180","Orange","1170","Orange",2782,2586
"G1801190","1820","Indiana","180","Owen","1190","Owen",465,373
"G1801230","1820","Indiana","180","Perry","1230","Perry",1225,1105
"G1801250","1820","Indiana","180","Pike","1250","Pike",788,684
"G1801290","1820","Indiana","180","Posey","1290","Posey",2107,1954
"G1801350","1820","Indiana","180","Randolph","1350","Randolph",951,857
"G1801370","1820","Indiana","180","Ripley","1370","Ripley",929,893
"G1801430","1820","Indiana","180","Scott","1430","Scott",1237,1097
"G1801470","1820","Indiana","180","Spencer","1470","Spencer",982,900
"G1801530","1820","Indiana","180","Sullivan","1530","Sullivan",1866,1632
"G1801550","1820","Indiana","180","Switzerland","1550","Switzerland",2075,1859
"G1801630","1820","Indiana","180","Vanderburgh","1630","Vanderburgh",954,844
"G1801670","1820","Indiana","180","Vigo","1670","Vigo",1919,1471
"G1801675","1820","Indiana","180","Wabash New Purchase *","1675","Wabash New Purchase *",72,75
